Total Business Value,Emp_ID,Age,Gender,City,Education_Level,Salary,Joining Designation,Designation,Quarterly Rating,Target
4618180,668,29,0,22,0,45969,2,2,2,1
100680,671,33,1,2,2,42368,3,3,1,1
532480,672,30,1,9,2,77011,2,2,1,1
0,673,36,0,3,0,36967,2,2,1,0
200000,674,34,0,5,0,38546,1,1,1,1
1555490,677,48,0,21,0,71072,2,3,1,1
1403820,678,35,1,5,2,31411,1,1,3,0
5474330,680,37,0,22,2,127380,2,4,1,1
2457760,681,29,1,15,1,51840,2,2,3,0
6583320,682,30,1,5,0,40008,1,1,3,0
1617190,683,41,0,8,2,55762,1,1,1,1
1500340,684,23,0,12,1,30083,1,1,1,1
860000,686,28,0,0,2,62909,2,2,1,1
0,687,32,1,9,1,13037,1,1,1,1
2576870,688,46,0,5,0,22931,1,2,1,1
0,689,28,0,1,0,17186,1,1,1,1
580610,690,45,0,5,1,49509,2,2,1,1
0,691,30,0,26,1,59241,2,2,1,1
420720,692,32,1,15,0,31831,1,1,1,1
34707890,693,47,1,5,2,123729,2,4,2,0
999000,694,32,0,7,2,82632,3,3,2,1
308510,695,27,1,8,2,57667,1,1,1,1
0,696,27,0,1,1,79461,3,3,1,1
39090190,697,43,1,17,0,118215,4,4,2,0
5950210,698,33,1,0,2,76536,3,3,2,0
3208020,700,29,0,1,0,31052,1,1,2,1
22269520,701,44,0,22,2,85450,2,2,2,1
0,702,38,0,12,1,113807,3,3,1,1
13697710,703,29,1,2,2,103494,1,3,1,1
13234050,704,29,1,27,0,62931,1,2,3,0
0,705,40,1,12,2,130781,3,3,1,1
0,706,35,1,19,1,70677,3,3,1,1
1473770,707,31,0,23,2,58323,1,1,1,1
517690,708,39,0,10,1,97116,3,3,1,1
0,709,31,1,4,0,135436,5,5,1,1
7091010,710,32,1,9,2,110299,3,3,4,0
0,711,29,1,9,1,31182,1,1,1,0
1742320,712,34,1,24,0,83615,3,3,3,0
36389370,713,29,1,3,1,69388,1,2,4,0
3050100,714,35,1,4,2,81352,3,3,1,1
0,715,41,1,23,0,34780,2,2,1,0
34913070,716,44,1,0,0,63352,1,3,3,0
23542730,718,27,1,6,2,67490,1,3,4,0
5003700,721,34,1,10,2,101880,3,3,3,0
1724200,722,37,1,28,0,37839,2,2,1,1
11318750,723,33,1,8,0,42243,1,1,1,0
0,724,32,0,0,2,36430,2,2,1,1
211440,725,29,1,12,1,19456,1,1,1,1
2330430,726,30,0,9,0,51497,1,1,1,1
1296780,727,39,1,14,2,44720,2,2,2,1
0,729,33,1,20,1,40531,2,2,1,1
228920,731,35,0,11,1,19290,1,1,1,1
0,733,23,0,25,1,13937,1,1,1,0
5958340,734,35,0,14,2,88414,3,3,1,0
1450000,735,38,0,3,0,110490,4,4,1,1
665120,736,27,0,6,2,81944,1,1,1,1
388710,737,40,1,10,1,24752,3,3,1,0
0,738,26,1,27,0,41980,2,2,1,1
382150,739,30,0,12,1,108768,1,3,2,1
1187640,740,37,1,22,0,46131,1,1,2,0
0,742,34,1,4,0,84637,3,3,1,1
0,743,36,1,1,1,73273,2,2,1,0
1520540,744,27,1,12,2,43322,1,1,1,1
0,745,30,1,2,2,62042,2,2,1,1
6576490,747,32,0,8,0,58943,1,2,2,1
0,748,31,0,12,1,50210,3,3,1,0
0,751,27,1,14,1,105510,3,3,1,0
2041340,752,43,1,15,2,56243,2,2,2,0
23441990,753,35,1,7,0,59656,2,2,4,0
0,754,29,1,21,1,44820,2,2,1,0
0,755,36,1,27,0,25894,3,3,1,0
488410,756,29,0,23,0,57476,3,3,1,1
4220370,757,35,1,19,1,63181,1,3,1,1
3721270,758,34,1,6,0,54288,2,2,1,1
0,759,42,1,18,0,87182,3,3,1,1
0,761,23,1,1,2,69449,2,2,1,1
8862230,762,35,1,19,2,35024,1,2,2,0
0,763,32,1,24,2,22913,1,1,1,0
386590,764,37,0,18,0,18285,1,1,1,1
34007130,765,47,0,27,0,123216,1,4,2,0
8598800,766,31,0,27,0,28308,1,1,3,0
3880190,767,39,0,11,1,85693,1,3,1,1
8595450,768,24,0,18,0,87853,1,1,2,1
0,769,36,1,2,0,107149,3,3,1,0
1750310,770,26,1,18,1,18544,2,2,1,0
0,771,36,1,24,0,45071,2,2,1,1
17467630,772,30,1,21,2,75986,3,3,4,0
0,773,30,1,21,1,51600,2,2,1,1
1818860,776,37,0,27,0,63587,2,2,2,1
1445280,777,30,0,14,2,70816,2,2,1,1
1923530,778,31,1,28,0,38990,2,2,1,1
0,779,35,0,15,2,23182,1,1,1,1
712590,781,41,0,15,2,82503,3,3,1,1
3360700,782,36,0,21,0,42314,2,2,3,0
6521890,783,49,1,22,2,76195,1,2,1,1
0,784,41,1,8,2,100303,3,3,1,1
2431500,785,31,1,18,0,54209,2,2,2,0
2007550,787,35,1,18,0,75467,3,3,1,1
36806180,789,40,0,14,1,72265,2,3,4,0
5522460,790,31,1,3,0,40253,2,2,1,1
38028190,791,36,0,23,1,84961,2,3,4,0
0,792,32,0,10,2,48639,2,2,1,1
127800,793,26,0,26,2,92670,3,3,1,0
4315560,794,33,1,13,2,60252,2,2,1,1
5353970,796,32,1,18,2,50434,2,2,1,1
1193450,797,33,1,16,2,29689,1,1,1,1
0,798,37,1,19,1,34849,2,2,1,1
456480,799,34,0,13,0,30951,2,2,1,1
618510,800,36,1,25,1,49614,2,2,1,1
927300,801,39,1,21,0,62810,3,3,2,0
0,802,29,1,12,2,63080,3,3,1,0
0,803,27,1,2,2,62232,1,1,1,1
4081830,804,30,1,15,2,46600,2,2,1,1
1542500,805,24,1,7,0,17676,1,1,1,1
2567880,806,40,0,27,1,78647,3,3,1,0
0,807,32,0,17,0,81547,3,3,1,1
0,808,33,1,6,0,49914,3,3,1,1
153540,810,25,1,8,0,45531,2,2,1,0
1005120,811,30,1,18,2,66017,2,2,1,1
0,812,31,1,6,2,42395,1,1,1,1
0,813,33,0,19,1,31787,2,2,1,1
0,814,30,1,7,2,56133,1,1,1,0
0,816,41,1,27,2,55115,2,2,1,0
820140,818,32,0,14,2,26850,2,2,1,1
34495110,819,41,1,6,0,114358,2,4,2,0
9000520,820,39,1,5,2,59166,1,1,1,1
3435990,821,29,0,3,2,113120,1,3,1,1
0,822,31,0,15,1,42601,1,1,1,1
0,824,40,0,28,1,32446,1,1,1,0
0,825,36,0,25,2,64187,3,3,1,0
931110,826,28,1,16,1,70740,1,2,1,1
388440,827,33,1,20,2,67113,2,2,1,1
4702900,828,34,1,13,1,63298,3,3,2,0
523440,829,38,0,6,1,55313,3,3,1,1
2966980,830,27,1,22,2,80746,1,2,1,1
543220,831,32,1,11,2,42588,1,1,2,1
15440080,832,42,0,7,1,58747,1,1,4,0
0,834,36,1,12,0,83969,3,3,1,0
5377060,835,29,1,18,0,66179,2,2,1,0
2452190,836,41,1,21,1,63636,2,2,1,1
101070,838,41,0,2,2,52632,1,1,1,1
485450,839,47,1,7,1,53383,2,2,1,1
17134040,840,40,0,27,1,88813,1,4,2,0
0,841,33,0,12,0,58199,2,2,1,1
28562340,842,37,1,9,0,121419,1,4,2,1
13627070,843,30,0,6,0,56035,1,2,1,1
150160,844,31,1,18,1,21212,1,1,1,1
1453360,845,46,1,20,0,22019,2,2,2,1
0,847,30,1,3,0,40409,2,2,1,1
3791340,848,28,0,20,0,45871,2,2,1,0
1835070,849,33,0,12,0,77903,3,3,3,1
6883410,850,36,1,0,2,113038,2,4,1,1
101850,851,34,1,4,0,39131,1,1,1,1
0,852,23,1,13,0,70731,2,2,1,1
0,853,33,0,4,1,29584,2,2,1,1
0,855,35,1,8,1,83524,2,2,1,1
8687010,856,37,0,14,1,87661,1,3,1,1
504150,858,37,1,13,0,75541,2,2,1,1
1121790,859,23,1,8,2,26151,1,1,1,1
378640,860,38,1,12,1,45269,1,1,1,1
126010,863,32,0,21,2,40295,1,1,1,1
0,864,36,0,19,0,91602,2,4,1,1
3150620,865,30,0,1,2,122941,3,3,2,0
763920,866,47,1,11,1,29151,1,1,1,1
3357550,867,30,0,0,1,35803,2,2,4,0
-645150,868,24,0,20,1,34497,2,2,1,1
487460,869,37,1,27,1,28575,1,1,1,1
15298690,870,37,0,21,0,93000,1,3,3,0
0,871,37,0,19,1,52753,2,2,1,1
0,872,32,1,20,2,19791,1,1,1,1
32819830,873,33,0,20,2,134302,1,4,3,1
0,874,37,1,16,1,75133,3,3,1,1
0,875,36,0,23,0,93822,3,3,1,0
2778590,876,22,0,17,1,39442,1,2,1,1
0,877,32,1,13,1,94770,2,2,1,1
2586520,879,38,1,27,1,55443,1,2,1,1
1903080,881,32,1,7,1,61069,2,2,2,1
1353210,882,31,1,4,1,94945,2,4,1,1
100240,883,32,1,19,1,50863,1,1,1,1
251150,885,39,0,13,2,44241,2,2,1,0
0,886,36,0,11,2,31954,1,1,1,1
3201180,887,25,1,5,0,23745,1,1,1,1
20976830,888,31,1,0,0,57266,1,2,4,0
1100030,889,32,1,20,0,47988,3,3,1,0
5995150,890,34,0,24,1,43463,1,1,3,1
6967160,892,35,0,22,1,51725,2,2,3,1
17369610,893,50,0,1,1,73308,1,2,2,0
0,894,37,1,20,1,45342,3,3,1,1
271120,895,31,1,5,2,34868,1,1,1,1
362330,896,32,0,9,2,22680,1,1,1,1
4128080,897,51,1,23,0,38502,1,1,1,1
307100,899,29,1,12,1,28565,1,1,1,1
1355620,901,32,0,27,0,41382,2,2,1,1
0,902,28,1,20,0,55857,2,2,1,0
17866060,904,41,0,18,0,101179,3,3,1,0
0,905,31,1,0,1,43831,2,2,1,1
10697010,906,36,0,9,0,108997,3,3,3,0
0,907,36,0,12,0,39104,1,1,1,1
10493340,908,47,1,23,0,33883,1,2,2,1
740200,909,49,1,10,0,58807,2,2,1,1
3821920,910,36,1,11,2,44326,1,1,1,1
0,912,38,1,27,1,65995,3,3,1,1
0,913,30,1,18,0,72974,3,3,1,0
0,914,26,0,24,2,45234,1,1,1,1
2115160,915,46,1,11,1,18512,1,1,2,1
0,916,25,1,6,1,30136,1,1,1,1
1066070,917,25,1,14,2,60391,1,1,1,1
0,918,25,0,23,2,20379,1,1,1,1
0,919,28,0,4,2,39854,2,2,1,1
0,920,30,1,0,1,46117,2,2,1,0
0,921,34,0,2,2,55630,2,2,1,1
303580,922,34,0,17,0,47484,1,1,1,1
0,923,31,0,21,2,70339,2,2,1,1
3958550,924,25,1,16,2,60056,2,2,2,1
13197400,926,49,1,23,1,21646,1,2,2,0
1130280,927,29,1,21,2,61371,1,1,1,1
0,928,33,0,11,1,67236,3,3,1,1
0,929,31,1,23,0,20245,2,2,1,1
-101180,930,37,0,26,2,37285,1,1,1,1
5512220,931,29,0,3,1,59393,3,3,3,1
12072740,933,36,0,10,0,75765,3,3,4,0
12941580,935,39,0,12,1,23823,1,1,1,1
452140,936,27,1,22,2,42607,1,1,1,0
522630,937,32,1,4,1,36846,1,2,1,1
1098190,938,34,0,23,2,70330,3,3,1,1
6333350,939,45,0,14,1,87153,1,4,1,1
423240,940,23,0,14,2,69972,1,1,2,1
523320,941,36,0,5,0,100893,3,3,1,1
0,942,29,1,20,2,40688,2,2,1,1
23230860,943,53,1,14,1,24923,1,1,4,0
2084090,944,36,0,12,1,93093,1,3,1,1
25943780,945,40,0,22,2,83025,2,3,2,0
18653790,946,44,1,14,0,58803,1,2,3,0
983740,947,30,0,25,0,74402,3,3,1,1
0,948,35,0,3,2,24634,1,1,1,1
0,949,25,0,16,2,31392,1,1,1,1
0,951,41,1,4,1,70478,3,3,1,1
200020,952,37,1,9,1,27483,1,1,2,0
0,953,26,1,4,1,17253,1,1,1,1
25951520,954,31,1,4,1,43996,1,2,3,0
0,955,33,1,1,2,99893,3,3,1,1
6383030,956,30,1,14,0,29492,2,2,4,0
320760,958,35,1,14,1,50799,2,2,1,1
1147200,959,34,0,8,0,85685,3,3,2,0
4933750,960,39,0,22,2,107936,3,3,3,0
0,961,42,0,18,2,35996,1,1,1,1
0,962,37,1,28,0,45278,1,1,1,1
0,963,40,1,7,0,48483,1,1,1,0
0,964,31,1,27,1,46679,2,2,1,1
3676150,965,42,1,12,2,74516,1,2,1,1
0,967,45,1,2,2,59526,2,2,1,1
636910,968,26,1,23,0,20785,1,1,1,1
0,970,38,1,23,1,83350,3,3,1,1
201820,971,26,1,21,2,61982,3,3,1,1
1978160,972,52,1,0,1,47194,1,2,1,1
22388420,973,47,1,14,1,90484,1,3,3,0
2537350,974,23,0,27,0,30461,1,1,1,1
347470,975,38,0,26,0,33721,1,1,1,1
13942630,977,31,0,7,0,28297,1,1,1,1
1109860,978,32,1,3,2,60185,2,2,1,1
2300090,979,28,0,15,2,41620,1,1,2,1
0,980,36,1,19,2,49277,2,2,1,1
1118270,981,40,0,5,1,72118,3,3,1,0
309120,982,31,1,3,0,60672,3,3,1,0
15626920,984,29,1,14,2,53058,1,2,1,1
1267940,985,28,1,17,0,49031,1,1,1,1
0,988,35,1,1,0,60797,3,3,1,0
30755460,990,43,0,8,0,119806,1,4,2,0
16187110,991,31,1,15,0,61823,2,2,3,0
4961340,992,46,1,26,0,52083,1,1,2,0
1539590,994,32,1,12,2,39502,2,2,1,1
1272730,995,31,1,8,0,69418,1,3,1,1
213560,996,37,1,25,2,46134,1,1,1,1
1933470,997,28,1,5,1,40654,2,2,1,1
1033030,998,32,1,10,1,37617,1,1,1,1
1908000,999,23,0,12,0,36811,2,2,2,0
0,1000,28,0,22,2,56016,1,1,1,1
1646640,1001,38,0,17,2,127070,2,3,1,1
194320,1002,29,1,22,1,58277,1,1,1,1
570460,1003,28,1,9,1,11706,1,1,1,1
424460,1004,31,1,5,1,58588,2,2,1,1
0,1005,30,0,27,1,58540,1,1,1,1
675360,1007,31,1,12,2,87810,2,2,1,1
0,1008,23,1,19,0,33831,1,1,1,1
1643990,1009,41,0,10,1,65464,3,3,1,1
41669570,1010,34,0,19,0,120188,1,4,1,1
555150,1011,31,1,3,2,76776,2,2,1,1
0,1012,39,1,27,1,50281,3,3,1,1
8706130,1013,29,0,5,2,30930,1,1,3,0
883390,1014,26,1,11,1,60396,3,3,2,0
181670,1015,32,1,28,2,87047,3,3,1,0
1438860,1016,47,0,3,2,82704,1,2,2,1
2398470,1017,41,0,5,2,57869,2,2,1,1
0,1019,32,0,10,2,32652,2,2,1,0
400000,1020,38,1,16,0,22245,3,3,2,1
0,1021,38,1,21,1,25106,1,1,1,1
1477210,1023,27,1,18,2,79926,3,3,1,1
0,1024,27,0,10,2,24582,1,1,1,1
0,1026,27,1,23,2,48868,1,1,1,0
0,1027,25,0,10,0,27607,1,1,1,1
0,1028,26,1,6,2,63844,2,2,1,1
0,1029,24,1,8,1,20363,1,1,1,0
0,1030,28,1,11,2,20101,1,1,1,1
24743820,1031,45,1,26,0,68434,2,3,2,0
1121670,1032,30,1,26,1,17000,1,1,2,0
3250190,1033,28,1,3,1,41705,1,1,1,1
9611290,1035,38,0,26,2,51680,2,2,4,1
0,1036,39,0,8,2,32263,3,3,1,1
37135780,1037,37,0,1,2,135414,1,4,2,0
204150,1038,31,1,23,0,21543,3,3,1,1
26646720,1039,45,1,18,0,138069,2,4,2,0
0,1040,32,1,2,2,62748,2,2,1,1
244200,1041,38,0,9,0,49443,3,3,1,1
18248240,1043,34,1,3,0,93121,2,3,2,0
10479300,1046,34,1,11,2,76198,2,3,3,1
0,1048,37,0,0,2,52668,2,2,1,1
9828090,1049,28,1,18,2,37278,1,1,1,1
14899610,1050,32,0,20,0,35462,1,2,3,0
14676410,1051,34,0,24,2,77483,1,2,3,0
989800,1054,37,0,11,0,92940,3,3,1,0
250000,1055,33,1,25,2,70772,2,2,1,1
4931940,1056,32,1,24,2,92713,2,2,4,0
12132870,1057,33,1,21,0,52553,3,3,4,0
754590,1058,37,0,26,1,47696,2,2,1,1
219800,1059,28,1,11,2,45330,1,1,1,1
0,1060,32,1,21,0,80290,2,2,1,1
0,1061,27,1,1,0,24932,1,1,1,1
0,1062,29,0,24,1,69071,2,2,1,1
5029620,1063,37,1,12,2,82503,3,3,1,1
0,1064,34,1,19,1,104966,3,3,1,1
3328230,1065,46,1,23,2,76467,2,3,1,1
317440,1066,29,1,21,1,26253,1,1,1,0
1995410,1067,41,1,25,2,68596,1,3,1,1
1044180,1069,36,0,25,1,55834,2,2,1,1
872600,1070,33,1,27,2,101638,3,3,2,0
8494310,1072,28,1,7,2,55648,1,1,1,1
2174480,1073,26,1,12,0,67149,1,1,4,0
0,1075,40,1,5,0,52480,2,2,1,1
1305290,1076,29,1,4,0,51837,1,1,1,1
14298980,1077,26,0,22,1,42768,1,1,2,0
1678910,1078,38,1,17,1,31540,3,3,1,0
150660,1079,40,1,12,1,84873,3,3,1,1
0,1080,36,1,28,0,47594,1,1,1,1
-96960,1081,24,0,24,2,55551,1,1,1,1
434400,1082,35,0,19,0,35079,2,2,1,1
0,1083,26,0,20,0,60417,1,1,1,1
705030,1084,30,1,0,2,49521,1,1,1,1
2155780,1085,35,0,22,2,62637,2,2,1,1
0,1086,35,1,17,0,94519,2,2,1,1
2553260,1087,35,1,22,1,89854,3,3,3,0
0,1089,37,1,2,2,60905,1,1,1,1
50382490,1090,39,1,4,1,96750,2,4,2,0
6600380,1091,31,0,14,2,45720,1,1,1,1
10885280,1092,31,0,7,1,36118,1,1,2,1
18472930,1093,37,1,0,0,77831,1,3,2,0
1175250,1094,41,0,27,1,56347,2,2,1,1
950370,1095,24,0,12,2,30442,1,1,1,1
0,1096,26,1,5,1,73363,2,2,1,1
2280790,1097,35,1,24,0,69794,2,2,4,0
1016780,1098,40,1,1,0,41591,3,3,1,1
1769360,1099,32,0,22,1,61413,2,2,2,0
1897250,1101,33,1,17,2,26592,1,1,1,1
0,1102,31,1,26,2,73245,3,3,1,1
0,1103,26,1,0,2,40318,1,1,1,1
9271700,1104,32,0,26,2,73594,3,3,4,1
1259100,1105,42,1,25,1,59168,1,1,2,1
17132800,1106,37,1,13,0,49193,1,2,3,0
0,1107,39,1,12,2,65633,3,3,1,0
772720,1108,32,1,6,0,47188,1,1,1,1
20284600,1109,37,0,19,1,88798,1,3,3,0
0,1110,26,1,9,0,41167,1,1,1,1
41660820,1111,40,1,20,2,153109,3,4,1,0
1615970,1112,38,0,4,2,27432,1,1,1,1
903470,1113,36,1,28,2,50769,1,1,1,1
1765870,1114,34,0,28,0,85781,3,3,2,0
0,1115,31,1,7,2,64444,2,2,1,0
1460340,1116,35,1,8,0,89585,2,2,2,0
276220,1117,34,1,18,2,52990,2,2,1,1
14970770,1118,29,1,26,1,49410,2,2,4,0
19409190,1119,29,0,13,0,41581,1,1,4,0
0,1122,30,1,9,0,80591,3,3,1,1
8684000,1123,43,0,12,0,55112,1,2,1,1
977970,1125,34,0,9,1,71977,3,3,2,0
0,1126,38,1,17,0,43747,2,2,1,1
9474670,1129,33,1,25,1,73087,1,2,2,1
0,1130,27,1,23,0,46464,1,1,1,1
605860,1131,24,0,10,1,68309,1,2,1,1
479380,1133,32,0,19,2,44062,1,1,1,1
2785800,1134,34,1,10,0,112066,3,3,1,1
0,1136,35,0,8,1,50118,2,2,1,1
1023820,1137,33,1,13,0,102175,3,3,2,1
0,1138,31,1,16,2,81440,3,3,1,1
11622640,1139,35,0,17,1,49939,1,1,2,0
0,1140,25,1,21,0,46856,1,1,1,1
249160,1141,37,0,27,2,61133,3,3,1,1
3605360,1143,32,1,21,2,30860,1,2,1,1
5222230,1144,34,1,23,2,69412,2,2,3,0
0,1145,31,1,12,2,60118,2,2,1,0
150010,1146,34,1,18,0,27548,2,2,1,1
25672950,1147,37,0,21,1,69789,2,4,2,0
4048630,1149,35,0,20,0,82078,3,3,2,0
1119590,1150,35,0,0,2,38572,2,2,1,1
140880,1151,33,1,27,1,103994,4,4,1,1
134760,1152,34,0,15,1,17607,2,2,1,1
0,1153,34,0,28,2,108284,3,3,1,0
104650,1154,33,1,3,1,30106,1,1,1,1
415800,1155,25,0,7,2,51796,1,1,1,1
443750,1156,31,1,19,0,46239,1,1,1,1
0,1157,31,1,22,2,57356,1,1,1,0
2356380,1158,33,0,16,0,62905,3,3,1,1
700160,1159,34,1,1,2,50547,3,3,2,0
0,1160,28,1,26,1,12779,1,1,1,1
23381570,1161,30,1,3,0,67371,1,3,1,0
0,1162,36,1,13,2,114416,3,3,1,0
457120,1163,24,0,27,1,22962,1,1,1,1
9214510,1164,34,0,26,2,32376,1,1,2,1
29252710,1165,39,0,7,0,98374,1,3,4,0
0,1166,35,1,1,0,18378,1,1,1,1
2096510,1167,29,1,15,1,22895,1,2,1,1
1009070,1169,33,1,13,0,95188,3,3,2,0
2675260,1172,28,1,28,0,76076,2,2,1,1
6584010,1173,41,1,14,2,26301,1,1,1,0
3704100,1175,42,0,19,2,52588,1,1,2,1
9893760,1177,26,1,19,1,23094,1,1,4,0
1497710,1178,42,1,7,0,71974,3,3,1,0
17287180,1179,52,0,9,0,78200,1,3,2,0
0,1180,33,0,7,0,66416,2,2,1,1
53807450,1181,34,0,14,0,122554,1,4,2,0
0,1182,38,1,16,1,75499,3,3,1,1
0,1183,35,1,3,1,99876,3,3,1,1
2646940,1185,27,1,16,2,39328,1,1,2,1
0,1186,30,0,19,0,64699,2,3,1,1
900420,1187,30,0,27,2,109986,3,3,1,1
31372160,1188,33,0,27,1,101005,2,4,1,0
0,1189,26,1,10,0,15970,1,1,1,1
1303920,1190,28,1,0,1,61991,2,2,3,0
35362450,1191,37,1,26,2,118722,1,4,2,0
0,1192,24,0,24,2,21234,1,1,1,1
521860,1193,29,1,20,2,50022,2,2,1,1
0,1194,24,0,6,1,61727,2,2,1,0
0,1195,33,0,19,0,55949,2,2,1,0
144060,1196,26,1,15,1,46789,2,2,1,1
600000,1197,22,0,25,1,26083,1,1,2,1
1613740,1198,32,1,23,2,70899,2,2,3,0
0,1199,25,1,20,1,19245,1,1,1,0
2949270,1200,38,1,12,0,107178,3,3,1,0
0,1201,42,1,14,2,43305,2,2,1,0
564380,1202,30,0,1,2,75735,2,2,1,1
0,1203,28,1,14,0,51433,2,2,1,1
7267150,1204,37,1,9,1,40035,1,1,1,1
18340790,1205,28,1,5,0,95465,2,2,3,1
15938480,1206,42,0,6,0,72584,2,3,3,0
0,1207,28,1,16,1,56498,2,2,1,1
0,1208,30,1,1,2,36558,1,1,1,1
0,1209,35,1,13,0,62599,3,3,1,0
0,1210,37,1,17,1,59653,2,2,1,0
0,1211,27,0,0,2,48097,3,3,1,1
7414770,1212,27,1,28,1,47419,1,2,1,1
15537200,1213,49,1,26,2,54491,1,1,3,0
1226380,1214,38,1,12,2,55698,2,2,3,0
0,1215,26,1,20,1,18088,1,1,1,1
1816480,1216,30,1,0,0,37992,1,1,1,1
0,1217,38,1,24,2,48409,1,1,1,1
0,1218,28,1,3,0,37630,2,2,1,1
0,1219,22,0,12,1,30295,1,1,1,1
0,1220,37,0,21,2,90851,3,3,1,1
9263440,1222,33,0,12,2,87845,2,2,3,0
0,1223,28,1,5,2,54527,2,2,1,1
4358500,1224,33,1,20,2,78442,3,3,3,0
12662250,1225,30,0,2,0,42262,1,1,3,0
643150,1226,32,1,26,1,12456,1,1,1,1
0,1227,33,0,3,2,71748,2,2,1,0
3087440,1228,32,1,28,0,45575,1,1,1,1
43100100,1229,36,1,8,1,115006,1,4,1,1
2855230,1230,35,0,27,2,92594,3,3,2,0
797200,1231,44,0,26,2,82540,3,3,1,0
14593130,1232,30,1,19,2,133978,2,4,2,1
3980440,1233,32,0,24,0,42565,2,2,1,1
12219890,1234,38,1,20,0,21755,1,1,3,0
262200,1235,34,1,22,1,50372,1,1,1,1
4026360,1236,42,1,1,0,94965,1,2,1,1
57159050,1238,29,1,3,1,106983,2,4,4,0
1884180,1239,24,0,22,2,50554,1,1,1,1
452050,1242,43,0,16,2,67971,3,3,1,1
25133230,1243,40,0,19,2,81975,1,3,4,0
751330,1244,36,0,1,1,15291,2,2,1,1
163200,1245,32,1,12,0,43975,2,2,1,1
806000,1246,31,0,2,0,44069,1,1,1,1
3245370,1247,32,1,21,1,19217,1,1,1,1
0,1248,35,0,19,0,39499,1,1,1,1
27355810,1249,23,1,24,0,37143,1,2,2,0
4154190,1250,40,0,5,2,55519,1,1,1,1
988020,1251,38,0,17,0,130277,3,3,1,1
500420,1252,24,0,25,1,47117,2,2,1,1
0,1255,41,1,11,1,84791,3,3,1,1
62000,1258,29,0,15,1,98630,2,2,1,1
20792700,1259,39,1,13,0,72550,1,2,3,0
0,1260,31,0,8,1,15520,1,1,1,1
1452130,1261,29,1,8,1,73103,2,2,1,1
0,1262,31,1,12,1,66074,2,2,1,1
29562230,1263,38,1,7,0,62041,2,2,3,0
1445310,1264,27,0,10,2,77369,1,3,1,1
10702790,1265,35,1,26,1,60358,1,2,3,0
7440160,1267,30,1,10,2,35658,1,1,2,0
783480,1268,38,1,18,2,66569,2,2,2,0
9411200,1269,37,0,11,1,98306,1,2,2,1
34630160,1271,39,0,3,1,108122,5,5,2,0
0,1272,32,0,12,0,38456,2,2,1,1
0,1273,32,0,2,2,72186,2,2,1,0
50986970,1274,54,1,6,2,145861,1,4,2,0
0,1275,30,0,9,1,10883,1,1,1,1
1401640,1276,37,1,14,0,42785,1,1,1,0
438620,1277,32,1,14,0,53471,2,2,1,1
0,1278,31,1,24,2,78444,3,3,1,1
250000,1279,24,0,22,0,34521,1,1,1,1
1368420,1280,41,0,12,0,100150,3,3,1,1
272220,1281,29,1,1,1,65870,3,3,1,1
6357950,1283,28,0,26,1,50693,2,2,1,0
5026280,1284,28,0,11,0,53931,1,1,4,0
2404630,1285,31,1,3,2,55419,2,2,1,1
722870,1286,35,1,6,1,81271,3,3,2,0
1227460,1287,26,0,26,0,52789,1,1,1,1
0,1288,34,1,12,0,94237,3,3,1,1
7686550,1289,37,1,0,2,39644,1,1,2,1
5565420,1290,37,0,16,2,27467,1,1,3,0
262990,1294,23,1,12,2,89580,3,3,1,0
-14310,1295,31,1,15,2,51643,1,2,1,1
220840,1296,26,1,10,2,50803,1,1,1,1
428080,1297,38,0,12,0,18106,1,1,1,1
4359960,1298,36,0,20,0,72219,2,2,1,1
350000,1300,35,1,10,2,39823,1,1,1,1
2649220,1301,33,1,26,0,74620,2,2,1,1
350000,1303,33,0,18,2,78813,2,2,1,1
351360,1304,27,0,13,0,32574,1,1,1,1
632420,1305,25,0,16,1,21150,1,1,1,1
1805810,1306,35,0,6,1,26928,1,1,1,1
0,1307,35,1,8,1,55638,3,3,1,1
0,1308,36,1,21,1,58027,3,3,1,1
2498800,1309,34,1,2,0,70921,3,3,1,1
579740,1312,21,0,25,1,22115,1,1,1,1
0,1314,28,1,4,2,36070,1,1,1,1
2748590,1315,34,1,25,0,66225,2,2,1,1
37833950,1316,34,0,20,0,75773,2,3,3,0
0,1318,29,1,27,2,111414,3,3,1,1
2836200,1319,40,0,24,2,25178,1,1,1,1
1264800,1320,36,1,14,2,67498,2,2,1,1
500880,1321,34,1,12,1,76396,2,2,1,1
250040,1322,28,1,11,0,48963,2,2,1,0
1752360,1323,44,0,25,0,67140,1,1,1,1
0,1324,38,1,14,0,57190,3,3,1,0
500860,1325,34,1,17,2,69401,3,3,1,0
1282690,1326,28,0,12,0,41463,1,1,1,1
33998640,1327,40,0,21,1,37413,1,2,4,0
0,1328,26,0,23,0,39790,1,1,1,0
0,1329,31,1,21,2,70088,1,1,1,1
12476730,1330,46,0,22,1,116163,1,4,1,1
478360,1331,39,0,26,0,17493,1,1,1,1
0,1333,34,0,2,2,43026,2,2,1,1
24857720,1334,40,1,10,0,107712,4,4,4,0
23471030,1335,34,1,9,2,157124,2,3,3,0
0,1336,28,1,21,2,76525,3,3,1,1
2591670,1337,50,0,1,0,55465,2,3,1,1
680590,1338,33,1,20,1,33154,3,3,1,1
0,1339,30,1,24,1,24291,1,1,1,0
